HRvalue,ts,HRvalid,SpO2valid,SpO2value
115,1.64921E+12,hr_valid,TRUE,26.431914
115,1.64921E+12,hr_valid,TRUE,38.541
65,1.64921E+12,hr_valid,TRUE,99.855786
100,1.64921E+12,hr_valid,TRUE,59.487816
93,1.64921E+12,hr_valid,TRUE,82.169544
136,1.64921E+12,hr_valid,TRUE,25.277016
136,1.64921E+12,hr_valid,TRUE,54.207624
50,1.64921E+12,hr_valid,TRUE,99.519096
88,1.64921E+12,hr_valid,TRUE,53.29605
88,1.64921E+12,hr_valid,TRUE,77.996466
88,1.64921E+12,hr_valid,TRUE,13.232376
125,1.64921E+12,hr_valid,TRUE,49.559634
107,1.64921E+12,hr_valid,TRUE,99.824664
68,1.64921E+12,hr_valid,TRUE,99.831474
83,1.64921E+12,hr_valid,TRUE,73.3818
83,1.64921E+12,hr_valid,TRUE,85.901034
83,1.64921E+12,hr_valid,TRUE,93.8034
